"","ID","Chrom","Start","Stop","Strand","Name"
"ENSMUSG00000042111","ENSMUSG00000042111","chr1",34436670,34439672,"-","Ccdc115"
"ENSMUSG00000026127","ENSMUSG00000026127","chr1",34439851,34449356,"+","Imp4"
"ENSMUSG00000026126","ENSMUSG00000026126","chr1",34459762,34475733,"+","Ptpn18"
"ENSMUSG00000100280","ENSMUSG00000100280","chr1",34468834,34473148,"-","Gm28417"
"ENSMUSG00000037509","ENSMUSG00000037509","chr1",34678188,34813309,"+","Arhgef4"
"ENSMUSG00000104002","ENSMUSG00000104002","chr1",34809360,34811908,"-","Gm38336"
"ENSMUSG00000037503","ENSMUSG00000037503","chr1",34813219,34843065,"-","Fam168b"
"ENSMUSG00000104358","ENSMUSG00000104358","chr1",34823525,34826560,"+","Gm37127"
"ENSMUSG00000026123","ENSMUSG00000026123","chr1",34849976,34879580,"+","Plekhb2"
"ENSMUSG00000103708","ENSMUSG00000103708","chr1",36002985,36011044,"-","Gm33222"
"ENSMUSG00000102434","ENSMUSG00000102434","chr1",36029647,36031018,"-","Gm38049"
"ENSMUSG00000045216","ENSMUSG00000045216","chr1",36068400,36106446,"+","Hs6st1"
"ENSMUSG00000102202","ENSMUSG00000102202","chr1",36132042,36138746,"+","Gm33280"
"ENSMUSG00000037470","ENSMUSG00000037470","chr1",36140027,36244720,"-","Uggt1"
"ENSMUSG00000037447","ENSMUSG00000037447","chr1",36307733,36324029,"+","Arid5a"
"ENSMUSG00000010453","ENSMUSG00000010453","chr1",36335730,36369181,"-","Kansl3"
"ENSMUSG00000037432","ENSMUSG00000037432","chr1",36372291,36422110,"+","Fer1l5"
"ENSMUSG00000001143","ENSMUSG00000001143","chr1",36419871,36445271,"-","Lman2l"
"ENSMUSG00000037408","ENSMUSG00000037408","chr1",36471620,36508764,"+","Cnnm4"
"ENSMUSG00000001138","ENSMUSG00000001138","chr1",36511867,36528237,"+","Cnnm3"
"ENSMUSG00000079610","ENSMUSG00000079610","chr1",36537507,36547445,"-","Ankrd39"
"ENSMUSG00000026121","ENSMUSG00000026121","chr1",36548639,36558349,"-","Sema4c"
"ENSMUSG00000087589","ENSMUSG00000087589","chr1",36557701,36565613,"+","D430040D24Rik"
"ENSMUSG00000046337","ENSMUSG00000046337","chr1",36562692,36683183,"-","Fam178b"
"ENSMUSG00000061518","ENSMUSG00000061518","chr1",36691449,36693681,"+","Cox5b"
"ENSMUSG00000037351","ENSMUSG00000037351","chr1",36698114,36714422,"-","Actr1b"
"ENSMUSG00000026117","ENSMUSG00000026117","chr1",36761798,36782818,"+","Zap70"
"ENSMUSG00000026116","ENSMUSG00000026116","chr1",36792191,36943666,"-","Tmem131"
"ENSMUSG00000102930","ENSMUSG00000102930","chr1",36913601,36916539,"-","Gm38115"
"ENSMUSG00000103159","ENSMUSG00000103159","chr1",36922797,36926348,"-","F830112A20Rik"
"ENSMUSG00000050122","ENSMUSG00000050122","chr1",37026596,37187613,"+","Vwa3b"
"ENSMUSG00000103603","ENSMUSG00000103603","chr1",37132273,37133264,"-","Gm37020"
"ENSMUSG00000026114","ENSMUSG00000026114","chr1",37214434,37263384,"+","Cnga3"
"ENSMUSG00000026113","ENSMUSG00000026113","chr1",37299865,37410736,"+","Inpp4a"
"ENSMUSG00000026112","ENSMUSG00000026112","chr1",37417084,37430103,"-","Coa5"
"ENSMUSG00000026111","ENSMUSG00000026111","chr1",37430139,37439124,"+","Unc50"
"ENSMUSG00000026110","ENSMUSG00000026110","chr1",37439340,37541016,"-","Mgat4a"
"ENSMUSG00000026090","ENSMUSG00000026090","chr1",37611677,37720085,"-","2010300C02Rik"
"ENSMUSG00000060771","ENSMUSG00000060771","chr1",37754776,37866429,"-","Tsga10"
"ENSMUSG00000037216","ENSMUSG00000037216","chr1",37871738,37876228,"+","Lipt1"
"ENSMUSG00000026088","ENSMUSG00000026088","chr1",37874801,37890411,"-","Mitd1"
"ENSMUSG00000026087","ENSMUSG00000026087","chr1",37890477,37898535,"+","Mrpl30"
"ENSMUSG00000058407","ENSMUSG00000058407","chr1",37985189,37997893,"-","Txndc9"
"ENSMUSG00000026083","ENSMUSG00000026083","chr1",37998010,38055579,"+","Eif5b"
"ENSMUSG00000026082","ENSMUSG00000026082","chr1",38052786,38129801,"-","Rev1"
"ENSMUSG00000103804","ENSMUSG00000103804","chr1",38076295,38077305,"-","Gm37062"
"ENSMUSG00000037138","ENSMUSG00000037138","chr1",38177326,38664955,"-","Aff3"
"ENSMUSG00000085280","ENSMUSG00000085280","chr1",38307902,38311930,"+","Gm16151"
"ENSMUSG00000048814","ENSMUSG00000048814","chr1",38793645,38836711,"-","Lonrf2"
"ENSMUSG00000026080","ENSMUSG00000026080","chr1",38863867,38898161,"-","Chst10"
"ENSMUSG00000026078","ENSMUSG00000026078","chr1",38985608,38997238,"+","Pdcl3"
"ENSMUSG00000103046","ENSMUSG00000103046","chr1",38992678,38994316,"+","Gm37309"
"ENSMUSG00000026077","ENSMUSG00000026077","chr1",39193731,39363236,"+","Npas2"
"ENSMUSG00000073702","ENSMUSG00000073702","chr1",39367842,39371911,"+","Rpl31"
"ENSMUSG00000003134","ENSMUSG00000003134","chr1",39371492,39478755,"-","Tbc1d8"
"ENSMUSG00000003135","ENSMUSG00000003135","chr1",39534992,39546889,"+","Cnot11"
"ENSMUSG00000085894","ENSMUSG00000085894","chr1",39547570,39552002,"-","Gm15832"
"ENSMUSG00000077704","ENSMUSG00000077704","chr1",39548745,39548854,"-","Snord89"
"ENSMUSG00000048234","ENSMUSG00000048234","chr1",39551296,39577405,"-","Rnf149"
"ENSMUSG00000050967","ENSMUSG00000050967","chr1",39618406,39651474,"-","Creg2"
"ENSMUSG00000097083","ENSMUSG00000097083","chr1",39650176,39657390,"+","D930019O06Rik"
"ENSMUSG00000057173","ENSMUSG00000057173","chr1",39665301,39720997,"-","Rfx8"
"ENSMUSG00000026074","ENSMUSG00000026074","chr1",39900913,40026310,"+","Map4k4"
"ENSMUSG00000026072","ENSMUSG00000026072","chr1",40225080,40317257,"+","Il1r1"
"ENSMUSG00000070942","ENSMUSG00000070942","chr1",40324610,40367562,"+","Il1rl2"
"ENSMUSG00000026062","ENSMUSG00000026062","chr1",40680574,40769273,"+","Slc9a2"
"ENSMUSG00000041945","ENSMUSG00000041945","chr1",40772038,40790687,"-","Mfsd9"
"ENSMUSG00000045515","ENSMUSG00000045515","chr1",42694925,42703176,"+","Pou3f3"
"ENSMUSG00000060679","ENSMUSG00000060679","chr1",42851233,42905683,"+","Mrps9"
"ENSMUSG00000070939","ENSMUSG00000070939","chr1",43047200,43098637,"-","Tgfbrap1"
"ENSMUSG00000010290","ENSMUSG00000010290","chr1",43098710,43115947,"+","AI597479"
"ENSMUSG00000008136","ENSMUSG00000008136","chr1",43123074,43196984,"-","Fhl2"
"ENSMUSG00000094497","ENSMUSG00000094497","chr1",43189156,43189638,"+","Gm8210"
"ENSMUSG00000066877","ENSMUSG00000066877","chr1",43444579,43570515,"+","Nck2"
"ENSMUSG00000103422","ENSMUSG00000103422","chr1",43488447,43490937,"+","Gm37536"
"ENSMUSG00000103945","ENSMUSG00000103945","chr1",43560273,43561565,"+","Gm38228"
"ENSMUSG00000057363","ENSMUSG00000057363","chr1",43746966,43827800,"-","Uxs1"
"ENSMUSG00000090243","ENSMUSG00000090243","chr1",43785910,43787188,"+","Gm16103"
"ENSMUSG00000100701","ENSMUSG00000100701","chr1",43888051,43888595,"+","Gm19587"
"ENSMUSG00000041763","ENSMUSG00000041763","chr1",43933647,44003000,"+","Tpp2"
"ENSMUSG00000047343","ENSMUSG00000047343","chr1",44009408,44020034,"-","Mettl21c"
"ENSMUSG00000091844","ENSMUSG00000091844","chr1",44055872,44079746,"-","Gm8251"
"ENSMUSG00000026049","ENSMUSG00000026049","chr1",44086613,44102441,"-","Tex30"
"ENSMUSG00000026047","ENSMUSG00000026047","chr1",44106546,44118808,"-","Poglut2"
"ENSMUSG00000041684","ENSMUSG00000041684","chr1",44118957,44144770,"+","Bivm"
"ENSMUSG00000026048","ENSMUSG00000026048","chr1",44147744,44181260,"+","Ercc5"
"ENSMUSG00000056870","ENSMUSG00000056870","chr1",44551511,44796838,"+","Gulp1"
"ENSMUSG00000102319","ENSMUSG00000102319","chr1",44560885,44565447,"+","Gm37626"
"ENSMUSG00000026042","ENSMUSG00000026042","chr1",45374321,45503282,"-","Col5a2"
"ENSMUSG00000025995","ENSMUSG00000025995","chr1",45795166,45823619,"+","Wdr75"
"ENSMUSG00000084817","ENSMUSG00000084817","chr1",45857332,45857754,"-","Gm5526"
"ENSMUSG00000025993","ENSMUSG00000025993","chr1",45908068,45926523,"-","Slc40a1"
"ENSMUSG00000041144","ENSMUSG00000041144","chr1",46066315,46373550,"+","Dnah7b"
"ENSMUSG00000101337","ENSMUSG00000101337","chr1",46425592,46807476,"+","Dnah7c"
"ENSMUSG00000025986","ENSMUSG00000025986","chr1",46807544,46892852,"-","Slc39a10"
"ENSMUSG00000100213","ENSMUSG00000100213","chr1",46849529,46850479,"-","Gm28151"
"ENSMUSG00000101447","ENSMUSG00000101447","chr1",47153461,47189071,"+","Gm28826"
"ENSMUSG00000100033","ENSMUSG00000100033","chr1",47657693,47659630,"+","Gm8337"
"ENSMUSG00000100816","ENSMUSG00000100816","chr1",50815375,50817701,"+","Gm28321"
"ENSMUSG00000026107","ENSMUSG00000026107","chr1",51465862,51478425,"-","Nabp1"
"ENSMUSG00000099413","ENSMUSG00000099413","chr1",51507086,51596718,"-","Gm17767"
"ENSMUSG00000018417","ENSMUSG00000018417","chr1",51749765,51916071,"-","Myo1b"
"ENSMUSG00000100313","ENSMUSG00000100313","chr1",51877110,51879608,"-","Gm28323"
"ENSMUSG00000072324","ENSMUSG00000072324","chr1",51940664,51941261,"-","Gm8420"
"ENSMUSG00000062939","ENSMUSG00000062939","chr1",51987148,52107189,"+","Stat4"
"ENSMUSG00000026104","ENSMUSG00000026104","chr1",52119440,52161865,"+","Stat1"
"ENSMUSG00000026103","ENSMUSG00000026103","chr1",52163448,52233232,"-","Gls"
"ENSMUSG00000002881","ENSMUSG00000002881","chr1",52457294,52500679,"-","Nab1"
"ENSMUSG00000097833","ENSMUSG00000097833","chr1",52503234,52504229,"-","Gm5976"
"ENSMUSG00000043015","ENSMUSG00000043015","chr1",52630703,52651919,"+","Nemp2"
"ENSMUSG00000041439","ENSMUSG00000041439","chr1",52656286,52727462,"-","Mfsd6"
"ENSMUSG00000026102","ENSMUSG00000026102","chr1",52785427,52817688,"-","Inpp1"
"ENSMUSG00000041426","ENSMUSG00000041426","chr1",52844929,52920986,"+","Hibch"
"ENSMUSG00000043629","ENSMUSG00000043629","chr1",52922324,53020179,"-","1700019D03Rik"
"ENSMUSG00000060715","ENSMUSG00000060715","chr1",53158577,53187636,"-","1700019A02Rik"
"ENSMUSG00000026098","ENSMUSG00000026098","chr1",53189187,53297018,"-","Pms1"
"ENSMUSG00000026097","ENSMUSG00000026097","chr1",53297095,53310309,"+","Ormdl1"
"ENSMUSG00000026096","ENSMUSG00000026096","chr1",53313624,53326343,"+","Osgepl1"
"ENSMUSG00000026095","ENSMUSG00000026095","chr1",53344617,53352752,"-","Asnsd1"
"ENSMUSG00000096141","ENSMUSG00000096141","chr1",53397006,53706784,"-","Dnah7a"
"ENSMUSG00000026094","ENSMUSG00000026094","chr1",53755506,53785224,"-","Stk17b"
"ENSMUSG00000042807","ENSMUSG00000042807","chr1",53806876,54195168,"-","Hecw2"
"ENSMUSG00000025983","ENSMUSG00000025983","chr1",54250683,54368727,"+","Ccdc150"
"ENSMUSG00000041303","ENSMUSG00000041303","chr1",54396004,54438971,"-","Gtf3c3"
"ENSMUSG00000073678","ENSMUSG00000073678","chr1",54472994,54557684,"-","Pgap1"
"ENSMUSG00000104136","ENSMUSG00000104136","chr1",54518610,54520270,"-","Gm36955"
"ENSMUSG00000052331","ENSMUSG00000052331","chr1",54645340,54926387,"-","Ankrd44"
"ENSMUSG00000025982","ENSMUSG00000025982","chr1",54985169,55027481,"-","Sf3b1"
"ENSMUSG00000025981","ENSMUSG00000025981","chr1",55052770,55072702,"+","Coq10b"
"ENSMUSG00000101122","ENSMUSG00000101122","chr1",55066264,55067069,"+","Gm17971"
"ENSMUSG00000025980","ENSMUSG00000025980","chr1",55077835,55088243,"-","Hspd1"
"ENSMUSG00000073676","ENSMUSG00000073676","chr1",55088132,55091307,"+","Hspe1"
"ENSMUSG00000089670","ENSMUSG00000089670","chr1",55127297,55128287,"+","Gm16581"
"ENSMUSG00000025979","ENSMUSG00000025979","chr1",55131231,55154899,"+","Mob4"
"ENSMUSG00000025978","ENSMUSG00000025978","chr1",55170159,55226782,"-","Rftn2"
"ENSMUSG00000046994","ENSMUSG00000046994","chr1",55237177,55248470,"+","Mars2"
"ENSMUSG00000025977","ENSMUSG00000025977","chr1",55248658,55363469,"-","Boll"
"ENSMUSG00000100215","ENSMUSG00000100215","chr1",55335401,55335796,"+","Gm8292"
"ENSMUSG00000038349","ENSMUSG00000038349","chr1",55405921,55754285,"+","Plcl1"
"ENSMUSG00000099950","ENSMUSG00000099950","chr1",55931241,55972328,"+","9130227L01Rik"
"ENSMUSG00000038331","ENSMUSG00000038331","chr1",56793981,56978650,"-","Satb2"
"ENSMUSG00000087022","ENSMUSG00000087022","chr1",56971412,57050084,"+","9130024F11Rik"
"ENSMUSG00000097519","ENSMUSG00000097519","chr1",57359222,57377544,"-","4930558J18Rik"
"ENSMUSG00000038323","ENSMUSG00000038323","chr1",57377620,57385423,"+","1700066M21Rik"
"ENSMUSG00000048495","ENSMUSG00000048495","chr1",57388237,57407101,"-","Tyw5"
"ENSMUSG00000025971","ENSMUSG00000025971","chr1",57406328,57417953,"+","Maip1"
"ENSMUSG00000038305","ENSMUSG00000038305","chr1",57774162,57948394,"+","Spats2l"
"ENSMUSG00000054770","ENSMUSG00000054770","chr1",57955101,58018956,"-","Kctd18"
"ENSMUSG00000026039","ENSMUSG00000026039","chr1",57995971,58025899,"+","Sgo2a"
"ENSMUSG00000063558","ENSMUSG00000063558","chr1",58029931,58106413,"+","Aox1"
"ENSMUSG00000064294","ENSMUSG00000064294","chr1",58113130,58200698,"+","Aox3"
"ENSMUSG00000038242","ENSMUSG00000038242","chr1",58210397,58268597,"+","Aox4"
"ENSMUSG00000103839","ENSMUSG00000103839","chr1",58383512,58386134,"-","Gm37607"
"ENSMUSG00000051223","ENSMUSG00000051223","chr1",58392898,58407353,"+","Bzw1"
"ENSMUSG00000026034","ENSMUSG00000026034","chr1",58410189,58424066,"-","Clk1"
"ENSMUSG00000026035","ENSMUSG00000026035","chr1",58430994,58445486,"-","Ppil3"
"ENSMUSG00000026036","ENSMUSG00000026036","chr1",58445151,58481816,"+","Nif3l1"
"ENSMUSG00000026037","ENSMUSG00000026037","chr1",58462771,58505109,"-","Orc2"
"ENSMUSG00000085054","ENSMUSG00000085054","chr1",58505148,58523230,"+","Gm15834"
"ENSMUSG00000038174","ENSMUSG00000038174","chr1",58522806,58586323,"-","Fam126b"
"ENSMUSG00000026032","ENSMUSG00000026032","chr1",58586384,58595964,"+","Ndufb3"
"ENSMUSG00000047528","ENSMUSG00000047528","chr1",58646903,58695989,"-","Flacc1"
"ENSMUSG00000026031","ENSMUSG00000026031","chr1",58711508,58758884,"+","Cflar"
"ENSMUSG00000026029","ENSMUSG00000026029","chr1",58795374,58847503,"+","Casp8"
"ENSMUSG00000102719","ENSMUSG00000102719","chr1",58797783,58801623,"+","Gm37760"
"ENSMUSG00000026028","ENSMUSG00000026028","chr1",58900449,58973430,"-","Trak2"
"ENSMUSG00000026027","ENSMUSG00000026027","chr1",58973522,58995715,"+","Stradb"
"ENSMUSG00000072295","ENSMUSG00000072295","chr1",58997116,59094900,"-","C2cd6"
"ENSMUSG00000038079","ENSMUSG00000038079","chr1",59100590,59120408,"-","Tmem237"
"ENSMUSG00000079550","ENSMUSG00000079550","chr1",59120935,59163389,"-","Mpp4"
"ENSMUSG00000101586","ENSMUSG00000101586","chr1",59151047,59169320,"+","Gm29017"
"ENSMUSG00000026024","ENSMUSG00000026024","chr1",59162926,59237231,"-","Als2"
"ENSMUSG00000104502","ENSMUSG00000104502","chr1",59447865,59449502,"-","Gm37737"
"ENSMUSG00000041075","ENSMUSG00000041075","chr1",59482424,59486955,"+","Fzd7"
"ENSMUSG00000097819","ENSMUSG00000097819","chr1",59488480,59492605,"-","Gm26813"
"ENSMUSG00000047361","ENSMUSG00000047361","chr1",59516264,59636417,"+","Gm973"
"ENSMUSG00000026021","ENSMUSG00000026021","chr1",59586558,59670834,"-","Sumo1"
"ENSMUSG00000103821","ENSMUSG00000103821","chr1",59646200,59648071,"-","D430013B06Rik"
"ENSMUSG00000026020","ENSMUSG00000026020","chr1",59684971,59719044,"+","Nop58"
