"","SRR7624381","SRR7624384","SRR7624386"
"chr1:9747106-9748494",2860.35333333333,2778.35333333333,2467.3
"chr1:9768502-9769408",433.246666666667,378.186666666667,429.21
"chr1:9797494-9798851",1399.54666666667,1208.64,1205.75
"chr1:9847847-9849215",1350.52,1429.76666666667,1593.89333333333
"chr1:9857238-9858386",409.54,335.693333333333,301.333333333333
"chr1:9908335-9909549",680.426666666667,523.206666666667,530.726666666667
"chr1:9941723-9944224",6527.16,5340.21333333333,4893.33333333333
"chr1:9966943-9968547",2423.34666666667,2058.59666666667,1941.68
"chr1:10008734-10009955",696.813333333333,516.83,556.56
"chr1:10037095-10039128",4902.78666666667,4008.24,4113.46333333333
"chr1:10039713-10040452",1253.76,1481.72333333333,1241.68
"chr1:10231764-10233609",2459.04666666667,2834.08,2535.75333333333
"chr1:10993336-10994677",1533.76666666667,1683.49333333333,1380.96666666667
"chr1:11295139-11295990",421.613333333333,285.753333333333,351.036666666667
"chr1:11328876-11330275",687.2,516.606666666667,599.513333333333
"chr1:11413519-11415262",1949.50666666667,1784.82,1825.22
"chr1:11746416-11747457",385.71,326.046666666667,375.466666666667
"chr1:12691935-12694177",942.48,1474.78333333333,2576.61333333333
"chr1:12717940-12719559",1023.17333333333,909.786666666667,1043.98666666667
"chr1:12724581-12725489",237.306666666667,281.95,458.94
"chr1:12746351-12747246",286.92,390.893333333333,325.73
"chr1:12808017-12808849",449.806666666667,475.523333333333,400.39
"chr1:12813665-12814399",290.773333333333,415.88,482.723333333333
"chr1:12835412-12836885",612.883333333333,688.346666666667,662.753333333333
"chr1:12864611-12865639",359.53,350.686666666667,403.65
"chr1:12990440-12991155",563.466666666667,582.606666666667,782.04
"chr1:12991398-12992913",1528.56333333333,1426.23333333333,1517.83333333333
"chr1:13014640-13015477",609.36,595.56,329.12
"chr1:13074748-13075147",372.5,240.153333333333,225.886666666667
"chr1:13075234-13075718",440.36,221.906666666667,212.66
"chr1:13076014-13076843",669.02,295.806666666667,303.476666666667
"chr1:13076467-13076855",384.72,221.446666666667,253.64
"chr1:13094176-13096218",668.27,707.126666666667,659.893333333333
"chr1:13103358-13105438",678.673333333333,901.713333333333,715.773333333333
"chr1:13124159-13126554",2747.38666666667,1461.9,640.68
"chr1:13126726-13127276",691.493333333333,425.89,291.94
"chr1:13372057-13373207",1780.48666666667,1933.16,1653.14666666667
"chr1:13373279-13374941",3302.96666666667,3403.00666666667,3752.88666666667
"chr1:13426120-13427297",688.633333333333,647.546666666667,620.9
"chr1:13588631-13590040",1960.58666666667,2207.38666666667,2024.74
"chr1:13619279-13619862",316.28,313.8,428.92
"chr1:13658209-13660780",4121.94,2817.35333333333,1759.75333333333
"chr1:14288007-14288646",429.133333333333,438.743333333333,263.206666666667
"chr1:14291572-14292351",396.826666666667,351.206666666667,224.536666666667
"chr1:14293715-14294594",396.156666666667,349.786666666667,260.573333333333
"chr1:14308857-14310454",2209.90666666667,1424,712.726666666667
"chr1:14506275-14507399",714.233333333333,509.9,571.12
"chr1:14754176-14754532",338.493333333333,332.516666666667,218.226666666667
"chr1:14754656-14756249",2012.44,2005.96,873.266666666667
"chr1:14918269-14919499",649.08,490.666666666667,377.21
"chr1:14975895-14977106",480.706666666667,380.166666666667,387.713333333333
"chr1:15286276-15287536",1396.82666666667,1079.24,1149.62
"chr1:15791025-15792195",564.94,651.043333333333,592.62
"chr1:15803218-15803790",656.12,650.326666666667,691.63
"chr1:15805076-15807436",5185.77333333333,4863.84666666667,3815.08666666667
"chr1:15814171-15814546",285.313333333333,376.3,319.146666666667
"chr1:15815213-15815839",341.82,462.46,415.646666666667
"chr1:15827998-15829054",347.876666666667,332.426666666667,247.296666666667
"chr1:15883406-15884154",395.02,320.066666666667,298.26
"chr1:15892292-15893306",970.173333333333,857.3,941.213333333333
"chr1:16092712-16093668",681.423333333333,678.3,799.506666666667
"chr1:16102886-16104424",3530.56,3206.12,3172.16666666667
"chr1:16104673-16106342",3101.84,3010.84,3248.21333333333
"chr1:16518400-16520320",1835.64666666667,1813.85333333333,1955.47333333333
"chr1:16618101-16619742",2535.62666666667,2663.65333333333,2528.74
"chr1:16655443-16657551",3824.44666666667,3366.32,3460.00666666667
"chr1:16664932-16666224",1210.90666666667,1355.90666666667,1456.45333333333
"chr1:16687962-16689168",714.32,523.993333333333,559.546666666667
"chr1:16737187-16738319",333.35,323.533333333333,406.843333333333
"chr1:17096376-17098175",1337.71333333333,1525.71333333333,2724.74666666667
"chr1:17145192-17145945",487.18,390.373333333333,418.406666666667
"chr1:17250289-17251749",443.406666666667,502.193333333333,383.22
"chr1:17523318-17524304",309.686666666667,298.54,424.23
"chr1:17727043-17728156",533.456666666667,307.123333333333,551.046666666667
"chr1:18057633-18059043",1259.24666666667,971.426666666667,1069.36666666667
"chr1:19103838-19104897",340.34,240.893333333333,446.253333333333
"chr1:19209541-19210540",386.74,241.98,383.22
"chr1:19233872-19235024",378.053333333333,258.34,444.513333333333
"chr1:19241023-19241757",372.613333333333,252.813333333333,387.006666666667
"chr1:20431425-20432470",476.953333333333,579.14,636.16
"chr1:20477568-20478475",396.913333333333,296.3,463.486666666667
"chr1:20694091-20695510",366.54,312.626666666667,431.513333333333
"chr1:20760721-20761833",413.436666666667,311.3,242.08
"chr1:20818560-20820401",3588.97333333333,3198.44,3091.99
"chr1:20867625-20868763",444.936666666667,296.143333333333,318.946666666667
"chr1:20890152-20891777",2350.94,1975.82,1731.98666666667
"chr1:20934581-20935643",372.25,347.966666666667,364
"chr1:20951025-20952369",993.46,860.066666666667,732.886666666667
"chr1:21070222-21071283",479.053333333333,534.693333333333,336.316666666667
"chr1:21078317-21079937",1704.74,1936.49333333333,1393.42666666667
"chr1:21166330-21167222",451.8,302.52,307.493333333333
"chr1:21218343-21219586",1154.98,981.726666666667,750.413333333333
"chr1:21253256-21253817",372.666666666667,383.886666666667,248.653333333333
"chr1:21255427-21256456",635.386666666667,540.913333333333,339.436666666667
"chr1:21256786-21257217",372.233333333333,345.293333333333,245.933333333333
"chr1:21271183-21272419",517.916666666667,475.906666666667,346.05
"chr1:21960742-21962438",985.14,717.52,1181.42666666667
"chr1:22532994-22534301",1254.5,976.16,1208.1
"chr1:22805462-22806671",628.133333333333,468.413333333333,595.66
"chr1:23256220-23257620",1688.14,1386.67333333333,1242.78666666667
"chr1:23382221-23383170",958.8,1279.14666666667,1312.22666666667
"chr1:23761661-23763472",2098.32666666667,1375.52666666667,1632.07333333333
"chr1:23921285-23922515",1217.26666666667,1491.14666666667,1405.98
"chr1:23958889-23959834",474.186666666667,565.773333333333,522.546666666667
"chr1:23968270-23969160",352.22,382.6,386.92
"chr1:24004936-24005872",1430.21333333333,1129.33333333333,959.193333333333
"chr1:24075678-24076448",501.486666666667,436.08,423.416666666667
"chr1:24099315-24100885",2146.5,2001.01333333333,2031.78
"chr1:24100512-24100928",461.393333333333,391.316666666667,415.016666666667
"chr1:24586356-24587558",566.86,337.65,510.346666666667
"chr1:24678343-24679537",1764.30666666667,1418.74,1176.74666666667
"chr1:25829410-25830816",781.886666666667,636.86,696.693333333333
"chr1:25830355-25831034",471.14,407.866666666667,388.49
"chr1:30803692-30805561",459.953333333333,707.686666666667,505.226666666667
"chr1:30804745-30805915",408.573333333333,427.94,379.86
"chr1:30847229-30847928",345.903333333333,424.42,271.226666666667
"chr1:30853214-30853865",418.573333333333,515.443333333333,388.303333333333
"chr1:30865666-30866271",218.226666666667,386.226666666667,273.506666666667
"chr1:30872058-30874405",3717.13333333333,4437.74,3940.23333333333
"chr1:30947678-30949704",3831.05333333333,3963.24,3449.82666666667
"chr1:30949868-30950397",523.74,748.26,730.276666666667
"chr1:32172249-32173288",542.38,445.626666666667,480.34
"chr1:33555363-33556854",583.96,529.8,319.226666666667
"chr1:33621195-33622397",601.986666666667,630.48,569.843333333333
"chr1:33635787-33636817",742.526666666667,601.753333333333,558.446666666667
"chr1:33637471-33638454",736.146666666667,592.62,571.17
"chr1:33669175-33670826",2730.23333333333,2723.76,2720.21333333333
"chr1:33719723-33721451",2278.48,2847.94666666667,2967.50666666667
"chr1:33757092-33758131",945.286666666667,968.153333333333,1105.94666666667
"chr1:33813397-33815008",2496.39333333333,2526.24666666667,2974.29333333333
"chr1:33838185-33839373",566.44,394.246666666667,459.66
"chr1:33906922-33908881",1647.06666666667,1732.53333333333,1790.51333333333
"chr1:33944723-33945771",458.713333333333,452.533333333333,415.293333333333
"chr1:33974358-33975401",485.436666666667,319.813333333333,318.84
"chr1:34005606-34007411",2053.12666666667,1561.22,1705.21333333333
"chr1:34007249-34007583",380.106666666667,407.546666666667,392.333333333333
"chr1:34011107-34012421",1654.33333333333,2032.57333333333,1873.22666666667
"chr1:34058700-34059725",435.68,412.033333333333,309.44
"chr1:34068539-34069383",520.213333333333,649.893333333333,345.666666666667
"chr1:34073897-34074371",378.88,417.65,387.246666666667
"chr1:34074789-34075391",554.013333333333,643.366666666667,435.98
"chr1:34076903-34077420",350.98,341.716666666667,377.98
"chr1:34077220-34078352",1089.05666666667,1069.51333333333,663.84
"chr1:34103133-34104319",671.866666666667,796.066666666667,462.45
"chr1:34106689-34107219",358.503333333333,481.38,293.06
"chr1:34108411-34109120",410.466666666667,581.646666666667,273.033333333333
"chr1:34114002-34114905",433.506666666667,558.593333333333,339.83
"chr1:34121136-34122039",347.843333333333,433.32,276.146666666667
"chr1:34139184-34140096",338.073333333333,517.433333333333,330.086666666667
"chr1:34177432-34178674",709.686666666667,815.12,818.04
"chr1:34236115-34237042",372.466666666667,573.673333333333,422.293333333333
"chr1:34432612-34433371",693.673333333333,643.703333333333,661.57
"chr1:34434907-34435393",894.846666666667,837.706666666667,963.263333333333
"chr1:34438580-34440687",5039.84,4364.55333333333,4395.72666666667
"chr1:34459117-34460449",1298.13333333333,1036.31333333333,1285.22
"chr1:34472399-34473505",593.7,614.876666666667,959.56
"chr1:34510048-34511175",280.26,250.486666666667,414.313333333333
"chr1:34536360-34537857",631.066666666667,510.42,701.45
"chr1:34578891-34580188",1001.16666666667,798.43,1119.65333333333
"chr1:34677812-34679147",734.92,587.22,1159.00666666667
"chr1:34750153-34751505",1202.28,721.856666666667,858.56
"chr1:34801564-34802630",1218.19666666667,1238.07333333333,1309.75333333333
"chr1:34806032-34806608",270.746666666667,268.12,448.796666666667
"chr1:34841398-34843039",2785.78666666667,2588.66666666667,2692.40666666667
"chr1:34843102-34843639",583.673333333333,617.653333333333,541.523333333333
"chr1:34849787-34850976",1023.96666666667,896.126666666667,788.333333333333
"chr1:34851141-34852131",661.68,406.013333333333,249.7
"chr1:34860202-34861278",546.236666666667,610.726666666667,477.186666666667
"chr1:34861342-34862498",499.756666666667,541.48,376.866666666667
"chr1:35787310-35788511",390.46,305.746666666667,438.36
"chr1:35849798-35850878",490.286666666667,459.12,391.12
"chr1:35941724-35942332",403.64,248.04,223.233333333333
"chr1:35944647-35946022",611.34,567.166666666667,321.153333333333
"chr1:36003417-36004258",395.62,288.253333333333,287.706666666667
"chr1:36010297-36011357",523.493333333333,519.29,437.78
"chr1:36030195-36031445",544.113333333333,613.08,391.78
"chr1:36068583-36070820",4619.46666666667,4323.62666666667,3782.70666666667
"chr1:36073245-36073507",343.713333333333,424.913333333333,300.543333333333
"chr1:36087011-36087860",312.166666666667,584.866666666667,345.573333333333
"chr1:36103427-36104484",331.346666666667,432.066666666667,417.633333333333
"chr1:36243249-36244524",2595.8,2513.88,2468.33333333333
"chr1:36269031-36269907",501.453333333333,419.453333333333,640.14
"chr1:36303105-36303767",546.843333333333,407.86,531.353333333333
"chr1:36307653-36308714",1192.02666666667,1108.47333333333,1111.62666666667
"chr1:36314238-36315937",1411.38666666667,1319.48666666667,1271.37
"chr1:36367790-36369591",2175.14,2369.76,2975.08666666667
"chr1:36444443-36445611",1706.77333333333,1547.59333333333,1469.1
"chr1:36470890-36472517",1814.88,1747,1898.55333333333
"chr1:36511409-36512291",1266.89,1503.00666666667,1521.07333333333
"chr1:36512459-36513666",949.673333333333,1503.41333333333,2213.37333333333
"chr1:36546336-36547340",1037.48,1008.69333333333,1119.36
"chr1:36555971-36558922",3042.41,3268.37333333333,6057.16
"chr1:36579793-36581125",396.913333333333,376.7,536.33
"chr1:36681623-36683645",1918.56,1260.48,1500.94
"chr1:36691151-36692634",2016.84,1930.96,2092.45333333333
"chr1:36708943-36710112",2188.02666666667,2197.66666666667,2035.82
"chr1:36758616-36759550",580.34,492.946666666667,421.04
"chr1:36770531-36771349",588.913333333333,664.62,608.84
"chr1:36784775-36785790",518.28,461.996666666667,536.226666666667
"chr1:36803659-36805378",420.543333333333,593.666666666667,337.54
"chr1:36830734-36831969",419.263333333333,531.846666666667,454.11
"chr1:36856594-36857506",306.94,392.573333333333,310.823333333333
"chr1:36903370-36904257",386.98,500.753333333333,382.753333333333
"chr1:36938136-36940400",4559.29333333333,4997.2,5389.64
"chr1:36984263-36985144",414.066666666667,396.346666666667,424.393333333333
"chr1:36986857-36987602",349.26,380.34,365.553333333333
"chr1:37028757-37029814",665.966666666667,651.043333333333,754.926666666667
"chr1:37042287-37043416",583.18,518.843333333333,436.093333333333
"chr1:37100484-37101775",676.806666666667,1294.43333333333,742.066666666667
"chr1:37299510-37300703",1496.01333333333,1620.28,1446.80666666667
"chr1:37429286-37431098",3583.28666666667,3050.61333333333,2892.20666666667
"chr1:37540142-37541030",1024.5,1173.72666666667,1201.30666666667
"chr1:37541133-37541551",440.623333333333,340.98,348.13
"chr1:37719172-37720471",1024.69333333333,892.1,950.08
"chr1:37719836-37720586",762.293333333333,662.933333333333,636.55
"chr1:37864232-37865915",1526.25333333333,1664.38,1559.64
"chr1:37865249-37865946",814.736666666667,900.673333333333,750.14
"chr1:37871814-37873171",1215.48666666667,1097.38,1016.38666666667
"chr1:37875188-37875871",308.34,393.006666666667,349.26
"chr1:37889622-37891409",3642.95333333333,3056.6,2842.06
"chr1:37996343-37997292",1825.00666666667,1554.62666666667,1293.01333333333
"chr1:37997391-37999143",3261.94666666667,3319.6,3366.32
"chr1:38127568-38129746",2948.38,3420.65333333333,3667.30666666667
"chr1:38129920-38130306",284.7,331.6,475.566666666667
"chr1:38209612-38210850",351.87,255.953333333333,570.893333333333
"chr1:38217959-38218726",390.33,260.406666666667,300.246666666667
"chr1:38620617-38621761",254.766666666667,285.073333333333,551.833333333333
"chr1:38626255-38627503",876.673333333333,985.713333333333,1803.30333333333
"chr1:38627619-38628292",782.88,740.246666666667,844.433333333333
"chr1:38823061-38823982",294.273333333333,335.753333333333,216.36
"chr1:38835247-38836884",1407.38,1613.88666666667,1427.53333333333
"chr1:38897162-38898441",1387.15333333333,1192.25333333333,1035.54
"chr1:38987152-38988682",2301.04,1813.98,1480.33333333333
"chr1:39192464-39194603",2118.94666666667,1615.20333333333,1519.52666666667
"chr1:39344987-39345903",432.69,318.93,329.986666666667
"chr1:39361587-39362462",443.146666666667,367.666666666667,426.02
"chr1:39367400-39367687",464.153333333333,481.713333333333,417.166666666667
"chr1:39367895-39370015",5822.54,5416.28666666667,5540.40666666667
"chr1:39477348-39479204",2274.92,2362.45333333333,1860.04666666667
"chr1:39519827-39520560",381.653333333333,235.24,206.046666666667
"chr1:39535228-39537048",3402.41333333333,3423.24,2743.11333333333
"chr1:39575764-39577740",2372.94666666667,2881.9,3126.22666666667
"chr1:39621953-39623441",354.32,419.57,304.486666666667
"chr1:39649925-39651289",1409.77333333333,1213.39333333333,1078.78666666667
"chr1:39655234-39657280",3175.87333333333,3017.34,2638.94
"chr1:39663438-39664355",315.963333333333,353.206666666667,362.686666666667
"chr1:39720582-39721557",759.393333333333,675.886666666667,829.16
"chr1:39900142-39902416",2506.43333333333,2920.92666666667,3085.25333333333
"chr1:39906777-39907731",358.933333333333,691.933333333333,488.066666666667
"chr1:39923099-39924382",406.086666666667,678.693333333333,450.456666666667
"chr1:39935547-39936794",1251.54,1220.54666666667,1155.7
"chr1:39979222-39980031",363.683333333333,347.46,330.78
"chr1:40266265-40267197",695.343333333333,394.523333333333,445.066666666667
"chr1:40325005-40326422",648,384.013333333333,534.713333333333
"chr1:40680428-40682149",1018.12666666667,677.576666666667,1044.71
"chr1:40789948-40791085",945.906666666667,746.813333333333,703.986666666667
"chr1:42491299-42492230",577.893333333333,382.306666666667,481.143333333333
"chr1:42684290-42685118",417.286666666667,314.48,511.696666666667
"chr1:42686132-42687131",608.313333333333,327.69,478.803333333333
"chr1:42694455-42695999",1211.96666666667,657.716666666667,836.916666666667
"chr1:42695643-42696171",425.553333333333,319.013333333333,381.89
"chr1:42696452-42696934",466.893333333333,279.66,373.706666666667
"chr1:42697356-42698101",445.86,325.603333333333,469.38
"chr1:42713119-42714765",644.12,493.503333333333,746.446666666667
"chr1:42850954-42852391",2485.22,2272.26,2087.84
"chr1:42952659-42953824",856.743333333333,969.3,1254.34666666667
"chr1:43091857-43093190",1321.82,1234.03333333333,1372.24666666667
"chr1:43097994-43099548",3243.94666666667,2689.80666666667,2758.12666666667
"chr1:43163232-43164343",996.333333333333,679.873333333333,929.006666666667
"chr1:43445138-43447035",2724.74666666667,2533.20666666667,2658.43333333333
"chr1:43469567-43470406",231.466666666667,364.256666666667,279.686666666667
"chr1:43819759-43820910",354.48,369.296666666667,295.93
"chr1:43826684-43827910",2216.40666666667,2399.09333333333,2444.34
"chr1:43898865-43900119",364.443333333333,359.006666666667,363.773333333333
"chr1:43933275-43935281",3792.64666666667,3426.26,3353.19333333333
"chr1:43944263-43945072",240.893333333333,383.056666666667,314.62
"chr1:44101197-44103023",2774.35333333333,2902,3031.11333333333
"chr1:44117856-44120369",3838.8,3256.06,3676.30333333333
"chr1:44147252-44148926",2408.34666666667,2232.86,2156.44666666667
"chr1:44198387-44199295",521.756666666667,480.653333333333,519.433333333333
"chr1:44551517-44552740",2175.74,1759.83333333333,1642.26666666667
"chr1:45501982-45503466",581.553333333333,462.903333333333,436.3
"chr1:45794879-45796712",3181.97333333333,2967.50666666667,3236
"chr1:45924967-45926423",1454.28666666667,1064.62,1253.02
"chr1:46066502-46067466",564.9,401.32,610.686666666667
"chr1:46650111-46650671",371.953333333333,327.106666666667,288.683333333333
"chr1:46852258-46853908",2074.5,2545.82666666667,3513.31333333333
"chr1:46894006-46895295",269.44,316.62,479.213333333333
"chr1:46979170-46980384",381.956666666667,303.403333333333,396.143333333333
"chr1:48655770-48656880",210.94,255.53,457.52
"chr1:48881344-48881787",396.59,295.873333333333,338.13
"chr1:50926645-50928364",1337.10666666667,989,1367.12
"chr1:51410498-51411920",348.64,438.09,268.853333333333
"chr1:51458721-51459658",520.12,525.066666666667,504.67
"chr1:51476998-51478499",1786.95333333333,1653.77333333333,2172.72
"chr1:51478577-51479112",486.17,399.706666666667,494.786666666667
"chr1:51623703-51625472",798.14,713.413333333333,363.29
"chr1:51742205-51743054",356.756666666667,489.47,285.86
"chr1:51746226-51747683",966.54,799.546666666667,523.606666666667
"chr1:51878812-51880324",385.01,457.266666666667,326.773333333333
"chr1:51895890-51897230",310.026666666667,405.813333333333,299.426666666667
"chr1:51905717-51906728",473.606666666667,329.266666666667,255.846666666667
"chr1:51914821-51916307",2877.09333333333,2926.37333333333,2880.65333333333
"chr1:52008376-52009644",655.293333333333,711.866666666667,498.026666666667
"chr1:52046819-52047530",405.346666666667,384.823333333333,340.62
"chr1:52118899-52120583",2192.37333333333,1731.64666666667,1395.66666666667
"chr1:52231566-52233782",2842.42,2765.78,3329.94666666667
"chr1:52431093-52432133",950.06,876.886666666667,1010.56
"chr1:52499479-52501119",1387.67333333333,1773.51333333333,1765.3
"chr1:52630453-52631559",1863,1639.46666666667,1529.87333333333
"chr1:52726361-52727738",1604.58,1534.03,1732.91333333333
"chr1:52816927-52818023",1019.37333333333,1011.53333333333,1107.81333333333
"chr1:52844837-52846098",1250.59,1252.32666666667,994.316666666667
"chr1:52938474-52939681",437.5,624.226666666667,545.78
"chr1:52939217-52939590",294.84,368.573333333333,380.753333333333
"chr1:52950804-52951079",380.313333333333,362.346666666667,271.02
"chr1:52951588-52953558",3386.32,3437.23333333333,2627.69333333333
"chr1:53296322-53297931",2670.43333333333,2444.87333333333,2312.76
"chr1:53313237-53314546",1590.14,1116.73333333333,1071.29333333333
"chr1:53351652-53353057",1731.98666666667,1664.15333333333,1519.31333333333
"chr1:53613213-53613899",338.74,369.266666666667,493.276666666667
"chr1:53706351-53707176",574.4,521.333333333333,586.726666666667
"chr1:53750188-53751063",414.236666666667,589.906666666667,625.16
"chr1:53784134-53785299",1802.71333333333,2143.98666666667,2249.39333333333
"chr1:54193995-54195393",1484.28666666667,1372.53333333333,1540.78666666667
"chr1:54250618-54251619",732.383333333333,650.76,652.573333333333
"chr1:54386483-54387394",358.82,439.003333333333,456.446666666667
"chr1:54438009-54439132",2310.05333333333,1908.18666666667,1720.58666666667
"chr1:54483996-54484867",476.68,331.02,305.4
"chr1:54556632-54558250",1882.92,1830.77333333333,2027.58
"chr1:54925413-54926833",2071.72666666667,1965.58,2084.05333333333
"chr1:55025710-55027496",4736.27333333333,4310.86,4171.11333333333
"chr1:55052166-55053694",2814.33333333333,2659.3,2574.28666666667
"chr1:55085776-55087891",5217.35333333333,4762.59333333333,5104.17333333333
"chr1:55088233-55089650",3107.88,3128.34666666667,3095.32666666667
"chr1:55089358-55089635",511.66,571.56,505.673333333333
"chr1:55102400-55103422",443.603333333333,405.96,394.66
"chr1:55103152-55104036",316.273333333333,399.473333333333,375.44
"chr1:55108823-55109823",350.86,431.453333333333,348.18
"chr1:55130583-55132685",2815.61333333333,3560.80666666667,3199.95333333333
"chr1:55171793-55172599",462.69,359.12,337.19
"chr1:55198065-55198686",438.11,244.833333333333,253.586666666667
"chr1:55225895-55226929",548.53,343.683333333333,374.39
"chr1:55236755-55238936",3243.46,3157.36666666667,2430.74666666667
"chr1:55362415-55364105",848.84,823.873333333333,985.383333333333
"chr1:55381356-55382369",376.353333333333,253.86,355.58
"chr1:55405299-55406868",1565.41333333333,1330.64333333333,1266.4
"chr1:56713803-56714942",390.696666666667,379.866666666667,391.656666666667
"chr1:56955122-56956103",341.473333333333,373.44,302.803333333333
"chr1:56969552-56969951",456.01,466.12,435.3
"chr1:56971434-56973709",3425.6,3444.32666666667,2876.39333333333
"chr1:56977396-56977942",559.593333333333,341.146666666667,351.036666666667
"chr1:57070635-57071746",388.723333333333,299.22,379.906666666667
"chr1:57368495-57370015",565.62,386.006666666667,262.03
"chr1:57376967-57378520",2342.31333333333,2308.00666666667,2032.7
"chr1:57405592-57407697",4914.43333333333,3949.97333333333,3654.81333333333
"chr1:57611298-57612204",584.213333333333,362.38,260.246666666667
"chr1:57774100-57776051",2731.29333333333,2192.37333333333,2648.21333333333
"chr1:57969258-57970242",1394.39333333333,1218.74,1189.63666666667
"chr1:57995627-57997592",3214.13333333333,2928.55333333333,2679.39333333333
"chr1:58029534-58031376",895.68,1200.95333333333,622.086666666667
"chr1:58330523-58331829",351.173333333333,313.8,419.296666666667
"chr1:58358597-58359631",448.966666666667,288.133333333333,291.873333333333
"chr1:58391874-58392349",655.106666666667,514.02,461.666666666667
"chr1:58392933-58394453",2382.22,2561.67333333333,2926.99333333333
"chr1:58422388-58424204",5042.36666666667,4312.62666666667,3964.08
"chr1:58444649-58446441",3142.22666666667,2433.92,2684.56666666667
"chr1:58503737-58505949",4160.44,4380.14666666667,4108.21333333333
"chr1:58585441-58587393",4842.94,4031.71333333333,3470.42666666667
"chr1:58613783-58614201",419.2,541.76,583.606666666667
"chr1:58652378-58653189",596.713333333333,495.833333333333,541.92
"chr1:58711235-58711981",808.853333333333,877.353333333333,721.726666666667
"chr1:58712903-58714158",971.546666666667,1186.83333333333,1267.92
"chr1:58766403-58767104",384.643333333333,406.853333333333,274.04
"chr1:58795280-58796402",948.333333333333,855.48,805.2
"chr1:58810609-58811694",368.5,291.566666666667,399.053333333333
"chr1:58818858-58820178",423.68,367.506666666667,480.666666666667
"chr1:58972670-58974319",3363.48,3106.21333333333,2998.36666666667
"chr1:59119361-59120756",1981.46666666667,1959.4,1861.58666666667
"chr1:59236385-59238100",2551.28666666667,2091.1,2298.98
"chr1:59252664-59253793",260.58,244.073333333333,417.876666666667
"chr1:59343842-59345328",420.5,378.126666666667,485.98
"chr1:59350122-59351662",449.906666666667,406.146666666667,562.8
"chr1:59376018-59376697",306.113333333333,365.013333333333,394.68
"chr1:59377100-59377979",350.713333333333,385.026666666667,342.336666666667
"chr1:59422415-59423648",355.613333333333,401.26,390.5
"chr1:59432183-59433180",228.086666666667,255.746666666667,574.286666666667
"chr1:59448903-59449752",237.966666666667,437.236666666667,446.3
"chr1:59450600-59451502",312.426666666667,338.02,579.376666666667
"chr1:59481380-59481829",424.913333333333,574,595.466666666667
"chr1:59482078-59485351",2338.78666666667,5420.08666666667,8736.81333333333
"chr1:59485196-59485435",278.133333333333,391.193333333333,505.143333333333
"chr1:59515793-59516705",479.893333333333,376.96,507.36
"chr1:59669309-59671589",5479.08666666667,5374.26,5074.48666666667
