"","control_1","control_2","control_3","IDD_1","IDD_2","IDD_3"
"hsa-miR-330-5p ",57,65,51,263,39,152
"hsa-miR-331-3p ",171,283,103,951,104,432
"hsa-miR-331-5p ",26,25,32,6,27,32
"hsa-miR-335-3p ",825,667,1559,53,676,477
"hsa-miR-335-5p ",1366,1561,1624,293,943,1341
"hsa-miR-337-3p ",616,618,848,106,504,247
"hsa-miR-337-5p ",168,209,150,147,79,152
"hsa-miR-338-3p ",0,0,1,3,0,0
"hsa-miR-338-5p ",0,0,0,2,0,3
"hsa-miR-339-3p ",615,792,471,2792,572,1349
"hsa-miR-339-5p ",1182,1196,1178,445,1037,1009
"hsa-miR-33a-3p ",8,8,23,2,16,16
"hsa-miR-33a-5p ",18,13,11,52,11,43
"hsa-miR-33b-3p ",1,2,3,4,3,10
"hsa-miR-33b-5p ",0,0,0,0,0,1
"hsa-miR-340-3p ",36,19,67,2,53,25
"hsa-miR-340-5p ",2704,2944,3133,772,3330,3692
"hsa-miR-342-3p ",292,285,243,310,172,234
"hsa-miR-342-5p ",2,2,1,5,2,4
"hsa-miR-345-3p ",0,1,0,1,0,1
"hsa-miR-345-5p ",307,458,269,2387,281,1081
"hsa-miR-346 ",0,0,1,1,1,2
"hsa-miR-34a-3p ",10,10,14,2,2,5
"hsa-miR-34a-5p ",1836,2050,2135,1377,1257,1522
"hsa-miR-34b-3p ",4,2,1,0,2,2
"hsa-miR-34b-5p ",0,4,2,0,0,0
"hsa-miR-34c-3p ",30,35,40,52,16,18
"hsa-miR-34c-5p ",1383,1685,1352,623,561,749
"hsa-miR-3529-3p ",4623,4827,5166,1548,3282,9807
"hsa-miR-3529-5p ",0,1,0,3,2,4
"hsa-miR-3605-3p ",12,27,16,30,10,16
"hsa-miR-3605-5p ",5,10,7,14,2,4
"hsa-miR-3609 ",0,0,0,0,1,1
"hsa-miR-361-3p ",3490,3975,3426,2546,4757,5132
"hsa-miR-361-5p ",1012,981,1283,253,1274,693
"hsa-miR-3611 ",2,1,6,10,3,8
"hsa-miR-3613-3p ",8,6,4,8,4,8
"hsa-miR-3613-5p ",651,717,874,131,1408,797
"hsa-miR-3614-3p ",0,1,0,0,0,0
"hsa-miR-3614-5p ",0,2,0,1,2,5
"hsa-miR-3615 ",68,70,31,168,89,171
"hsa-miR-3616-3p ",0,0,0,2,1,0
"hsa-miR-3617-5p ",5,9,6,11,5,3
"hsa-miR-3619-3p ",2,1,2,8,1,0
"hsa-miR-3619-5p ",3,0,6,4,0,1
"hsa-miR-362-3p ",20,31,18,6,26,33
"hsa-miR-362-5p ",271,332,297,540,272,552
"hsa-miR-3620-3p ",1,0,1,0,1,0
"hsa-miR-3620-5p ",1,0,1,1,0,0
"hsa-miR-3622a-3p ",0,0,0,2,4,1
"hsa-miR-3622a-5p ",0,0,0,16,5,1
"hsa-miR-3622b-3p ",0,0,0,4,2,1
"hsa-miR-363-3p ",10,2,3,6,12,35
"hsa-miR-3648 ",0,0,0,2,0,0
"hsa-miR-3659 ",0,0,0,0,0,1
"hsa-miR-365a-3p ",2828,2338,3497,610,2167,1380
"hsa-miR-365a-5p ",103,117,76,269,55,161
"hsa-miR-365b-3p ",2828,2338,3497,610,2167,1380
"hsa-miR-365b-5p ",7,11,8,21,3,26
"hsa-miR-3661 ",4,2,1,15,3,6
"hsa-miR-3662 ",3,1,0,0,0,2
"hsa-miR-3664-3p ",1,5,1,1,0,0
"hsa-miR-3664-5p ",0,0,0,2,1,2
"hsa-miR-3677-3p ",3,1,3,9,1,6
"hsa-miR-3677-5p ",1,0,0,0,0,1
"hsa-miR-3679-5p ",7,3,1,15,4,1
"hsa-miR-3680-3p ",1,1,0,0,0,0
"hsa-miR-3680-5p ",0,0,0,0,1,3
"hsa-miR-3681-5p ",0,2,0,0,0,0
"hsa-miR-3684 ",0,0,1,0,0,0
"hsa-miR-3688-3p ",5,5,2,2,2,6
"hsa-miR-3688-5p ",1,2,0,0,0,2
"hsa-miR-3689a-5p ",0,0,0,0,0,1
"hsa-miR-3689b-5p ",0,0,0,0,0,1
"hsa-miR-3689e ",0,0,0,0,0,1
"hsa-miR-369-3p ",2084,2043,2596,172,1349,776
"hsa-miR-369-5p ",702,717,945,51,546,338
"hsa-miR-3691-5p ",1,0,0,2,0,3
"hsa-miR-3692-3p ",1,0,1,0,1,3
"hsa-miR-370-3p ",7651,10872,6011,18766,3824,11880
"hsa-miR-370-5p ",25,21,21,1,21,14
"hsa-miR-372-3p ",0,0,1,0,0,1
"hsa-miR-373-3p ",0,0,0,0,0,1
"hsa-miR-374a-3p ",475,397,867,70,884,381
"hsa-miR-374a-5p ",2771,2458,4087,244,4298,1925
"hsa-miR-374b-3p ",71,65,147,10,150,57
"hsa-miR-374b-5p ",2348,1952,3664,208,3617,1306
"hsa-miR-374c-3p ",2348,1952,3664,208,3617,1306
"hsa-miR-374c-5p ",1,0,4,0,0,0
"hsa-miR-375-3p ",32,7,1,21,3,31
"hsa-miR-376a-2-5p ",0,0,0,0,1,0
"hsa-miR-376a-3p ",199,183,214,30,119,152
"hsa-miR-376a-5p ",39,44,34,15,28,18
"hsa-miR-376b-3p ",16,27,17,67,7,31
"hsa-miR-376b-5p ",34,35,43,5,21,26
"hsa-miR-376c-3p ",863,1119,756,811,577,809
"hsa-miR-376c-5p ",2,6,7,2,0,2
"hsa-miR-377-3p ",223,279,220,412,167,246
"hsa-miR-377-5p ",297,396,258,386,168,251
"hsa-miR-378a-3p ",4602,6321,3600,28516,3187,12844
"hsa-miR-378a-5p ",52,72,66,91,48,103
"hsa-miR-378c ",484,773,236,5751,241,1474
"hsa-miR-378d ",167,275,80,1650,69,513
"hsa-miR-378e ",2,6,2,94,0,13
"hsa-miR-378f ",3,1,2,13,1,4
"hsa-miR-378g ",1,1,0,22,2,5
"hsa-miR-378h ",0,0,0,1,0,0
"hsa-miR-378i ",7,5,2,49,2,9
"hsa-miR-379-3p ",345,351,585,15,277,101
"hsa-miR-379-5p ",14184,17864,13470,9828,9382,10264
"hsa-miR-380-3p ",43,47,56,1,28,9
"hsa-miR-381-3p ",15064,18920,14925,23670,12138,21544
"hsa-miR-381-5p ",1,3,2,3,2,0
"hsa-miR-382-3p ",992,1035,1155,185,913,545
"hsa-miR-382-5p ",3039,3971,2669,3895,2061,2337
"hsa-miR-383-5p ",0,2,0,0,0,0
"hsa-miR-3907 ",0,0,0,0,0,1
"hsa-miR-3909 ",147,138,191,77,97,121
"hsa-miR-3910 ",0,3,0,1,1,3
"hsa-miR-3911 ",1,0,0,0,0,2
"hsa-miR-3912-3p ",3,7,7,1,13,7
"hsa-miR-3913-3p ",6,12,5,33,9,10
"hsa-miR-3913-5p ",6,12,5,33,9,10
"hsa-miR-3916 ",1,2,1,4,0,3
"hsa-miR-3918 ",0,0,0,0,0,1
"hsa-miR-3919 ",0,0,0,1,0,0
"hsa-miR-3921 ",0,0,0,0,0,1
"hsa-miR-3922-5p ",0,1,0,0,0,1
"hsa-miR-3925-5p ",0,0,0,3,0,1
"hsa-miR-3926 ",0,0,0,1,0,0
"hsa-miR-3927-5p ",0,0,1,0,0,0
"hsa-miR-3928-3p ",17,42,7,145,16,40
"hsa-miR-3928-5p ",0,1,0,0,0,0
"hsa-miR-3934-3p ",1,0,0,0,0,0
"hsa-miR-3934-5p ",29,28,20,25,19,24
"hsa-miR-3935 ",1,0,0,0,0,0
"hsa-miR-3939 ",0,1,0,0,0,0
"hsa-miR-3940-3p ",4,8,5,19,13,24
"hsa-miR-3940-5p ",0,1,0,0,0,1
"hsa-miR-3942-5p ",1,1,1,1,0,2
"hsa-miR-3943 ",1,0,0,1,1,0
"hsa-miR-3944-3p ",0,1,1,11,0,0
"hsa-miR-3944-5p ",0,1,1,2,1,0
"hsa-miR-409-3p ",5182,6602,4272,6594,3134,4553
"hsa-miR-409-5p ",1892,2137,1796,515,1409,1156
"hsa-miR-410-3p ",488,606,627,64,331,292
"hsa-miR-410-5p ",5,13,4,25,0,10
"hsa-miR-411-3p ",576,480,852,22,478,163
"hsa-miR-411-5p ",5341,4940,6782,294,4613,2589
"hsa-miR-412-3p ",1,0,3,0,1,0
"hsa-miR-412-5p ",128,150,185,17,100,70
"hsa-miR-421 ",131,123,135,67,105,131
"hsa-miR-423-3p ",16742,20442,13447,37718,15679,28766
"hsa-miR-423-5p ",3008,3555,2808,7100,2913,6103
"hsa-miR-424-3p ",100,81,106,45,20,51
"hsa-miR-424-5p ",202,189,198,38,62,73
"hsa-miR-425-3p ",62,72,61,116,33,57
"hsa-miR-425-5p ",416,560,341,758,265,419
"hsa-miR-4254 ",0,3,0,0,0,0
"hsa-miR-4286 ",23,95,35,115,19,82
"hsa-miR-429 ",23,18,13,14,33,92
"hsa-miR-4306 ",0,0,0,1,0,0
"hsa-miR-431-3p ",22,27,23,18,13,15
"hsa-miR-431-5p ",369,459,387,284,194,261
"hsa-miR-432-3p ",3,6,3,9,5,5
"hsa-miR-432-5p ",669,865,565,1035,286,551
"hsa-miR-4326 ",0,3,0,7,0,8
"hsa-miR-433-3p ",290,390,290,155,141,200
"hsa-miR-433-5p ",3,1,6,0,1,0
"hsa-miR-4421 ",3,2,1,9,6,11
"hsa-miR-4422 ",1,0,0,0,0,0
"hsa-miR-4423-3p ",4,3,3,1,1,14
"hsa-miR-4423-5p ",2,3,1,4,1,22
"hsa-miR-4424 ",0,0,1,0,1,3
"hsa-miR-4425 ",2,1,2,1,0,1
"hsa-miR-4427 ",0,0,0,0,0,1
"hsa-miR-4429 ",0,0,0,1,0,0
"hsa-miR-4430 ",0,0,0,2,0,0
"hsa-miR-4435 ",5,3,2,5,2,2
"hsa-miR-4436b-3p ",0,0,1,0,0,3
"hsa-miR-4440 ",0,0,0,0,0,2
"hsa-miR-4443 ",1,3,3,4,0,15
"hsa-miR-4454 ",3,7,4,4,0,7
"hsa-miR-4455 ",0,0,0,0,0,1
"hsa-miR-4466 ",0,2,0,2,0,0
"hsa-miR-4467 ",1,0,0,0,0,0
"hsa-miR-4470 ",1,2,1,4,1,1
"hsa-miR-4473 ",11,12,20,8,12,13
"hsa-miR-4474-3p ",1,2,2,2,0,2
"hsa-miR-4477b ",2,0,0,2,0,0
"hsa-miR-4479 ",0,1,1,3,0,1
"hsa-miR-4484 ",0,1,0,1,0,1
"hsa-miR-4485-3p ",8,18,15,0,0,0
"hsa-miR-4497 ",0,0,0,14,0,1
"hsa-miR-449a ",7,9,11,2,23,11
"hsa-miR-449b-3p ",0,0,0,1,2,0
"hsa-miR-449b-5p ",0,0,0,1,0,1
"hsa-miR-449c-5p ",4,5,5,7,21,19
"hsa-miR-4504 ",0,2,1,0,0,4
"hsa-miR-450a-1-3p ",4,3,3,2,0,3
"hsa-miR-450a-2-3p ",5,3,4,2,3,5
"hsa-miR-450a-5p ",213,177,206,25,66,92
"hsa-miR-450b-5p ",112,122,175,8,74,30
"hsa-miR-4511 ",0,0,1,0,0,2
"hsa-miR-4512 ",0,0,0,0,0,1
"hsa-miR-4515 ",0,0,0,1,0,0
"hsa-miR-4516 ",0,0,0,2,0,0
"hsa-miR-4517 ",0,0,0,0,1,0
"hsa-miR-451a ",67,20,7,143,19,124
"hsa-miR-452-5p ",389,466,273,1433,542,484
"hsa-miR-4521 ",9,11,1,3,3,5
"hsa-miR-4523 ",0,0,0,0,1,0
"hsa-miR-4529-5p ",1,0,0,0,1,0
"hsa-miR-4536-5p ",0,0,0,0,1,0
"hsa-miR-454-3p ",101,79,180,18,153,72
"hsa-miR-454-5p ",15,13,16,11,13,7
"hsa-miR-455-3p ",221,214,256,116,189,369
"hsa-miR-455-5p ",2257,2769,2003,4308,2051,6967
"hsa-miR-4636 ",5,4,0,2,3,7
"hsa-miR-4637 ",1,0,0,0,1,3
"hsa-miR-4638-3p ",2,3,0,5,2,2
"hsa-miR-4638-5p ",1,0,1,1,0,2
"hsa-miR-4640-3p ",1,0,0,0,0,0
"hsa-miR-4642 ",0,0,0,6,0,5
"hsa-miR-4644 ",0,1,0,0,0,0
"hsa-miR-4645-3p ",4,3,5,2,0,5
"hsa-miR-4647 ",0,0,0,4,0,1
"hsa-miR-4649-3p ",1,0,0,0,0,0
"hsa-miR-4649-5p ",0,0,0,13,1,4
"hsa-miR-4651 ",0,0,1,0,0,0
"hsa-miR-4653-3p ",0,0,0,1,0,0
"hsa-miR-4657 ",0,1,1,3,0,0
"hsa-miR-4659a-3p ",2,2,2,0,3,3
"hsa-miR-4659a-5p ",1,0,0,0,0,0
"hsa-miR-466 ",0,0,0,0,0,5
"hsa-miR-4660 ",3,0,0,2,3,0
"hsa-miR-4661-3p ",0,1,0,0,0,0
"hsa-miR-4661-5p ",4,3,3,6,2,3
"hsa-miR-4662a-5p ",0,0,1,0,5,1
"hsa-miR-4662b ",0,0,0,0,2,0
"hsa-miR-4664-3p ",2,0,0,0,0,1
"hsa-miR-4664-5p ",0,0,0,1,0,0
"hsa-miR-4665-5p ",0,0,2,5,2,1
"hsa-miR-4667-3p ",0,0,0,0,0,1
"hsa-miR-4667-5p ",1,1,2,2,1,2
"hsa-miR-4668-5p ",3,5,3,3,0,2
"hsa-miR-4669 ",0,0,0,2,0,0
"hsa-miR-4670-3p ",0,0,0,1,3,3
"hsa-miR-4670-5p ",0,0,0,1,3,3
"hsa-miR-4672 ",1,0,0,0,1,1
"hsa-miR-4676-3p ",2,9,1,1,1,3
"hsa-miR-4676-5p ",0,0,0,1,0,0
"hsa-miR-4677-3p ",33,36,28,29,37,60
"hsa-miR-4677-5p ",1,2,0,0,1,4
"hsa-miR-4682 ",0,0,0,0,1,3
"hsa-miR-4683 ",11,7,11,26,8,30
"hsa-miR-4684-3p ",2,7,1,4,1,10
"hsa-miR-4684-5p ",0,0,1,0,0,0
"hsa-miR-4685-3p ",0,5,2,13,1,7
"hsa-miR-4687-3p ",0,0,2,4,0,3
"hsa-miR-4687-5p ",2,0,0,0,0,0
"hsa-miR-4688 ",1,3,0,0,0,0
"hsa-miR-4689 ",0,1,0,1,0,0
"hsa-miR-4690-3p ",0,0,0,0,0,1
"hsa-miR-4691-3p ",0,0,0,2,0,0
"hsa-miR-4693-3p ",0,0,0,1,0,0
"hsa-miR-4694-5p ",0,0,0,1,0,0
"hsa-miR-4695-5p ",0,0,0,2,0,0
"hsa-miR-4697-3p ",0,0,0,0,0,2
"hsa-miR-4699-3p ",0,0,0,1,0,0
"hsa-miR-4705 ",0,0,0,0,3,3
"hsa-miR-4707-3p ",0,0,0,0,0,3
"hsa-miR-4707-5p ",0,0,0,0,0,1
"hsa-miR-4708-3p ",0,0,1,0,0,0
"hsa-miR-4709-3p ",2,3,1,7,5,2
"hsa-miR-4709-5p ",2,3,4,1,2,1
"hsa-miR-4711-5p ",1,1,0,0,0,0
"hsa-miR-4712-5p ",0,0,1,0,0,0
"hsa-miR-4713-3p ",0,0,0,2,0,0
"hsa-miR-4714-5p ",0,1,0,2,0,0
"hsa-miR-4715-5p ",0,0,1,0,0,1
"hsa-miR-4717-3p ",0,0,3,0,1,0
"hsa-miR-4717-5p ",0,0,5,0,1,1
"hsa-miR-4719 ",0,0,1,0,0,0
"hsa-miR-4723-3p ",0,0,0,0,1,1
"hsa-miR-4723-5p ",0,1,0,0,0,0
"hsa-miR-4725-3p ",1,2,3,4,0,6
"hsa-miR-4725-5p ",0,1,0,0,0,0
"hsa-miR-4726-5p ",1,1,1,1,0,1
"hsa-miR-4728-3p ",1,2,0,1,2,3
"hsa-miR-4728-5p ",0,0,1,5,0,0
"hsa-miR-4731-3p ",0,0,3,0,4,2
"hsa-miR-4731-5p ",3,5,2,10,2,4
"hsa-miR-4733-5p ",2,0,0,0,0,0
"hsa-miR-4738-3p ",0,0,0,1,0,0
"hsa-miR-4740-5p ",1,0,1,1,0,0
"hsa-miR-4741 ",0,0,0,5,1,4
"hsa-miR-4742-3p ",1,0,7,0,6,1
"hsa-miR-4742-5p ",3,5,2,0,0,4
"hsa-miR-4743-3p ",0,1,0,0,0,1
"hsa-miR-4743-5p ",1,3,1,1,0,0
"hsa-miR-4744 ",0,0,0,0,0,1
"hsa-miR-4746-5p ",6,2,5,12,2,16
"hsa-miR-4748 ",0,0,0,1,0,1
"hsa-miR-4749-5p ",0,2,0,4,1,2
"hsa-miR-4750-5p ",1,3,2,0,0,3
"hsa-miR-4754 ",1,0,1,0,0,0
"hsa-miR-4755-3p ",0,2,0,0,0,0
"hsa-miR-4755-5p ",2,6,0,0,0,8
"hsa-miR-4757-3p ",0,0,0,0,1,0
"hsa-miR-4757-5p ",0,0,0,3,0,3
"hsa-miR-4762-3p ",0,0,0,2,0,1
"hsa-miR-4762-5p ",0,1,0,0,0,0
"hsa-miR-4766-3p ",0,0,0,0,0,1
"hsa-miR-4767 ",1,1,0,1,0,5
"hsa-miR-4768-5p ",0,0,3,7,2,1
"hsa-miR-4772-5p ",0,1,0,0,0,0
"hsa-miR-4773 ",0,3,6,0,0,3
"hsa-miR-4775 ",162,119,264,8,44,32
"hsa-miR-4779 ",0,0,0,0,1,0
"hsa-miR-4781-3p ",2,3,1,2,1,3
"hsa-miR-4782-5p ",0,0,1,0,0,0
"hsa-miR-4785 ",2,1,5,6,0,2
"hsa-miR-4786-3p ",0,1,0,0,0,0
"hsa-miR-4786-5p ",0,1,1,0,0,0
"hsa-miR-4787-3p ",4,4,5,28,4,12
"hsa-miR-4788 ",3,4,4,2,1,5
"hsa-miR-4791 ",0,2,1,2,4,2
"hsa-miR-4794 ",1,0,0,0,0,1
"hsa-miR-4796-3p ",0,0,1,0,2,1
"hsa-miR-4796-5p ",1,1,0,0,2,1
"hsa-miR-4797-3p ",0,0,0,2,0,2
"hsa-miR-4797-5p ",0,4,0,1,0,2
"hsa-miR-4798-5p ",2,0,1,2,2,3
"hsa-miR-4802-3p ",0,0,0,0,3,1
"hsa-miR-4802-5p ",0,1,0,0,0,0
"hsa-miR-4803 ",1,1,0,0,1,0
"hsa-miR-4804-3p ",0,0,0,2,0,0
"hsa-miR-483-3p ",14,18,11,59,2,18
"hsa-miR-483-5p ",24,30,15,505,8,42
"hsa-miR-484 ",1005,1152,965,570,1325,1435
"hsa-miR-485-3p ",546,726,541,335,226,298
"hsa-miR-485-5p ",158,177,120,183,114,119
"hsa-miR-486-3p ",231,306,198,135,29,81
"hsa-miR-486-5p ",1070,1256,953,519,180,392
"hsa-miR-487a-3p ",126,160,141,27,47,84
"hsa-miR-487a-5p ",50,68,49,82,37,38
"hsa-miR-487b-3p ",537,602,606,185,354,329
"hsa-miR-487b-5p ",13,7,11,2,6,5
"hsa-miR-488-3p ",1,3,1,1,0,4
"hsa-miR-488-5p ",0,0,1,0,0,0
"hsa-miR-490-3p ",138,240,148,619,108,449
"hsa-miR-490-5p ",36,41,46,26,19,92
"hsa-miR-491-3p ",4,2,6,1,3,0
"hsa-miR-491-5p ",40,38,26,273,31,46
"hsa-miR-493-3p ",4590,5456,4515,2997,1422,3096
"hsa-miR-493-5p ",5577,5116,8950,607,3470,1835
"hsa-miR-494-3p ",229,229,226,25,172,114
"hsa-miR-494-5p ",15,26,15,46,14,36
"hsa-miR-495-3p ",1340,1130,1664,667,742,766
"hsa-miR-495-5p ",7,1,9,1,0,0
"hsa-miR-496 ",17,19,26,10,24,7
"hsa-miR-497-3p ",1,0,0,0,1,0
"hsa-miR-497-5p ",90,121,95,295,80,188
"hsa-miR-4999-5p ",0,0,0,0,2,1
"hsa-miR-499a-3p ",1,0,0,2,0,0
"hsa-miR-499a-5p ",26,19,23,4,60,40
"hsa-miR-499b-3p ",3,5,7,0,8,13
"hsa-miR-499b-5p ",1,0,0,2,0,0
"hsa-miR-5000-3p ",2,0,2,4,1,8
"hsa-miR-5000-5p ",1,1,0,0,1,1
"hsa-miR-5001-3p ",2,0,1,0,1,6
"hsa-miR-5001-5p ",0,0,0,0,0,1
"hsa-miR-5002-5p ",0,2,2,1,3,2
"hsa-miR-5003-5p ",1,0,0,0,1,0
"hsa-miR-5004-3p ",0,0,0,1,1,0
"hsa-miR-5009-5p ",1,0,0,0,2,1
"hsa-miR-500a-3p ",465,541,338,1051,337,866
"hsa-miR-500a-5p ",33,40,31,36,35,33
"hsa-miR-500b-3p ",1,0,0,0,0,0
"hsa-miR-501-3p ",267,272,256,327,194,397
"hsa-miR-501-5p ",5,6,3,26,4,8
"hsa-miR-5010-3p ",5,5,9,4,6,10
"hsa-miR-5010-5p ",0,0,1,2,0,2
"hsa-miR-502-3p ",896,1101,702,1334,769,1545
"hsa-miR-503-3p ",0,0,1,0,0,1
"hsa-miR-503-5p ",142,138,117,48,30,76
"hsa-miR-504-3p ",0,0,0,3,0,3
"hsa-miR-504-5p ",220,268,328,153,1134,365
"hsa-miR-505-3p ",170,188,164,274,113,216
"hsa-miR-505-5p ",11,8,13,3,6,6
"hsa-miR-508-3p ",0,0,0,0,0,1
"hsa-miR-5088-5p ",1,0,0,0,0,0
"hsa-miR-509-3-5p ",0,0,0,0,0,1
"hsa-miR-509-3p ",0,0,0,1,0,0
"hsa-miR-5090 ",1,0,0,0,0,0
"hsa-miR-5091 ",0,0,0,4,1,1
"hsa-miR-5094 ",0,0,0,0,0,1
"hsa-miR-5100 ",0,0,0,2,0,0
"hsa-miR-511-5p ",0,0,0,0,0,4
"hsa-miR-514a-3p ",3,0,1,1,4,3
"hsa-miR-515-5p ",0,0,0,0,0,1
"hsa-miR-516a-5p ",3,1,5,0,0,1
"hsa-miR-516b-5p ",0,0,2,0,0,1
"hsa-miR-517a-3p ",0,1,0,0,0,0
"hsa-miR-517b-3p ",0,1,0,0,0,0
"hsa-miR-5187-5p ",2,1,0,6,2,0
"hsa-miR-5188 ",2,2,0,0,3,0
"hsa-miR-518a-3p ",3,0,0,0,0,0
"hsa-miR-518e-5p ",0,0,0,1,0,0
"hsa-miR-5191 ",0,0,0,1,0,0
"hsa-miR-5193 ",0,1,4,5,2,4
"hsa-miR-519a-5p ",0,0,0,1,0,0
"hsa-miR-519b-5p ",0,0,0,1,0,0
"hsa-miR-519c-5p ",0,0,0,1,0,0
"hsa-miR-522-3p ",2,2,2,0,0,0
"hsa-miR-522-5p ",0,0,0,1,0,0
"hsa-miR-523-5p ",0,0,0,1,0,0
"hsa-miR-526b-5p ",1,0,0,0,0,0
"hsa-miR-532-3p ",298,381,246,334,251,545
"hsa-miR-532-5p ",3024,3517,3456,2166,3346,4485
"hsa-miR-539-3p ",324,328,463,24,220,113
"hsa-miR-539-5p ",30,35,26,11,16,18
"hsa-miR-541-3p ",8,8,3,8,3,6
"hsa-miR-541-5p ",6,14,6,20,2,10
"hsa-miR-542-3p ",148,168,80,168,30,81
"hsa-miR-542-5p ",1,1,1,2,1,0
"hsa-miR-543 ",950,873,1089,80,551,489
"hsa-miR-544a ",1,0,0,0,0,0
"hsa-miR-544b ",0,0,0,0,1,0
"hsa-miR-545-3p ",0,1,0,0,0,0
"hsa-miR-545-5p ",0,0,0,0,1,0
"hsa-miR-548a-3p ",16,20,21,9,30,45
"hsa-miR-548a-5p ",0,1,0,0,0,0
"hsa-miR-548aa ",11,4,5,5,6,9
"hsa-miR-548ab ",18,18,15,5,4,6
"hsa-miR-548ac ",0,0,0,0,1,2
"hsa-miR-548ad-5p ",8,8,11,0,13,15
"hsa-miR-548ae-3p ",0,0,1,0,0,0
"hsa-miR-548ae-5p ",8,8,11,0,13,15
"hsa-miR-548ag ",0,0,0,0,0,1
"hsa-miR-548ah-3p ",5,2,8,5,6,27
"hsa-miR-548ai ",0,0,1,4,3,1
"hsa-miR-548aj-3p ",0,0,1,0,0,0
"hsa-miR-548aj-5p ",10,7,14,9,14,11
"hsa-miR-548ak ",0,1,0,1,1,0
"hsa-miR-548al ",2,3,0,4,1,7
"hsa-miR-548am-3p ",1,1,6,0,5,6
"hsa-miR-548am-5p ",3,3,1,1,5,1
"hsa-miR-548an ",0,0,0,0,0,2
"hsa-miR-548ao-3p ",1,0,1,0,0,0
"hsa-miR-548ap-3p ",3,0,0,0,0,4
"hsa-miR-548aq-3p ",10,7,14,9,14,11
"hsa-miR-548aq-5p ",3,0,1,0,0,0
"hsa-miR-548ar-3p ",4,5,9,0,9,9
"hsa-miR-548ar-5p ",0,0,2,0,1,0
"hsa-miR-548at-5p ",1,3,0,1,1,2
"hsa-miR-548au-5p ",0,1,0,1,4,1
"hsa-miR-548av-3p ",1,0,0,0,0,0
"hsa-miR-548av-5p ",0,1,0,0,0,1
"hsa-miR-548ay-3p ",14,11,22,2,7,13
"hsa-miR-548ay-5p ",23,18,24,0,28,21
"hsa-miR-548az-5p ",1,0,0,0,0,1
"hsa-miR-548b-3p ",0,0,0,0,0,1
"hsa-miR-548b-5p ",1,3,3,0,1,6
"hsa-miR-548ba ",3,5,4,9,10,5
"hsa-miR-548bc ",6,11,13,8,8,13
"hsa-miR-548c-5p ",3,3,1,1,5,1
"hsa-miR-548d-3p ",0,0,0,0,1,4
"hsa-miR-548d-5p ",26,19,30,3,28,25
"hsa-miR-548e-3p ",67,113,129,21,83,92
"hsa-miR-548e-5p ",0,0,1,0,0,0
"hsa-miR-548f-5p ",11,18,17,9,11,20
"hsa-miR-548g-5p ",10,7,14,9,14,11
"hsa-miR-548h-3p ",0,2,1,2,4,3
"hsa-miR-548h-5p ",16,12,15,2,6,28
"hsa-miR-548i ",2,1,5,0,2,2
"hsa-miR-548j-3p ",4,6,3,1,0,9
"hsa-miR-548j-5p ",6,5,11,4,3,6
"hsa-miR-548k ",140,134,117,68,129,157
"hsa-miR-548l ",5,2,5,0,4,3
"hsa-miR-548n ",5,4,0,0,9,9
"hsa-miR-548o-3p ",50,62,90,20,78,107
"hsa-miR-548o-5p ",3,3,1,1,5,1
"hsa-miR-548p ",0,1,1,1,3,1
"hsa-miR-548q ",1,0,0,0,0,0
"hsa-miR-548s ",1,0,1,1,1,2
"hsa-miR-548t-3p ",11,4,5,5,6,9
"hsa-miR-548t-5p ",1,3,0,10,1,2
"hsa-miR-548u ",8,12,8,10,11,13
"hsa-miR-548v ",1,0,0,0,0,1
"hsa-miR-548w ",14,4,10,4,9,13
"hsa-miR-548x-5p ",10,7,14,9,14,11
"hsa-miR-548z ",0,2,1,2,4,3
"hsa-miR-549a-3p ",54,66,62,31,13,23
"hsa-miR-549a-5p ",37,76,34,46,15,22
"hsa-miR-550a-3-5p ",0,3,2,5,0,5
"hsa-miR-550a-3p ",10,11,10,3,15,15
"hsa-miR-550a-5p ",15,24,18,35,11,41
"hsa-miR-550b-2-5p ",10,11,10,3,15,15
"hsa-miR-550b-3p ",0,2,1,1,0,2
"hsa-miR-551a ",2,0,3,4,4,13
"hsa-miR-551b-3p ",0,0,0,0,0,2
"hsa-miR-552-3p ",2,0,2,2,0,0
"hsa-miR-556-5p ",0,2,0,3,2,1
"hsa-miR-5579-5p ",0,1,0,0,1,0
"hsa-miR-5580-3p ",0,0,0,0,0,1
"hsa-miR-5581-3p ",2,2,3,1,0,3
"hsa-miR-5582-3p ",1,0,3,0,0,2
"hsa-miR-5585-3p ",3,2,2,4,2,2
"hsa-miR-5588-5p ",0,1,0,2,0,0
"hsa-miR-561-3p ",1,0,0,0,0,1
"hsa-miR-561-5p ",3,8,5,15,7,21
"hsa-miR-5680 ",0,0,0,0,1,0
"hsa-miR-5683 ",1,2,1,2,1,0
"hsa-miR-5687 ",0,0,0,3,0,0
"hsa-miR-5691 ",0,0,0,0,0,1
"hsa-miR-5695 ",1,1,1,0,0,2
"hsa-miR-5696 ",0,0,0,0,2,0
"hsa-miR-5697 ",0,0,1,0,0,0
"hsa-miR-5698 ",0,0,0,2,1,0
"hsa-miR-5699-3p ",2,8,8,9,3,23
"hsa-miR-5699-5p ",7,24,13,35,8,27
"hsa-miR-570-3p ",2,3,0,0,2,4
"hsa-miR-570-5p ",0,0,1,4,3,1
